"full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"Apis.dorsata_PA2_RUN1_RF","PA2","RUN1","RF","AUCroc",343,100,100,1,0.829,NA
"Apis.dorsata_PA2_RUN1_XGBOOST","PA2","RUN1","XGBOOST","TSS",533,91.849,69.25,0.613,0.442,NA
"Apis.dorsata_PA2_RUN1_XGBOOST","PA2","RUN1","XGBOOST","AUCroc",590.5,87.591,73.125,0.869,0.786,NA
"Apis.dorsata_PA2_RUN1_MAXNET","PA2","RUN1","MAXNET","TSS",412,80.779,69.8,0.507,0.395,NA
"Apis.dorsata_PA2_RUN1_MAXNET","PA2","RUN1","MAXNET","AUCroc",436.5,76.399,74.225,0.831,0.779,NA
"Apis.dorsata_PA2_RUN2_GLM","PA2","RUN2","GLM","TSS",466,86.131,55.25,0.416,0.427,NA
"Apis.dorsata_PA2_RUN2_GLM","PA2","RUN2","GLM","AUCroc",557.5,74.696,65.625,0.776,0.765,NA
"Apis.dorsata_PA2_RUN2_GAM","PA2","RUN2","GAM","TSS",518,82.36,69.9,0.522,0.45,NA
"Apis.dorsata_PA2_RUN2_GAM","PA2","RUN2","GAM","AUCroc",522.5,82.117,70.325,0.828,0.796,NA
"Apis.dorsata_PA2_RUN2_GBM","PA2","RUN2","GBM","TSS",548,81.63,67.175,0.487,0.429,NA
"Apis.dorsata_PA2_RUN2_GBM","PA2","RUN2","GBM","AUCroc",548.5,81.63,67.175,0.804,0.776,NA
"Apis.dorsata_PA2_RUN2_RF","PA2","RUN2","RF","TSS",346,100,100,1,0.352,NA
"Apis.dorsata_PA2_RUN2_RF","PA2","RUN2","RF","AUCroc",346,100,100,1,0.828,NA
"Apis.dorsata_PA2_RUN2_XGBOOST","PA2","RUN2","XGBOOST","TSS",551,88.078,71.575,0.598,0.425,NA
"Apis.dorsata_PA2_RUN2_XGBOOST","PA2","RUN2","XGBOOST","AUCroc",589.5,82.117,75.15,0.857,0.785,NA
"Apis.dorsata_PA2_RUN2_MAXNET","PA2","RUN2","MAXNET","TSS",427,77.616,72.55,0.501,0.441,NA
"Apis.dorsata_PA2_RUN2_MAXNET","PA2","RUN2","MAXNET","AUCroc",431.5,77.251,73.125,0.83,0.8,NA
"Apis.dorsata_PA2_RUN3_GLM","PA2","RUN3","GLM","TSS",458,88.686,54.925,0.436,0.379,NA
"Apis.dorsata_PA2_RUN3_GLM","PA2","RUN3","GLM","AUCroc",544.5,78.467,64.525,0.78,0.757,NA
"Apis.dorsata_PA2_RUN3_GAM","PA2","RUN3","GAM","TSS",498,83.942,67.9,0.518,0.424,NA
"Apis.dorsata_PA2_RUN3_GAM","PA2","RUN3","GAM","AUCroc",551.5,77.616,73.075,0.832,0.786,NA
"Apis.dorsata_PA2_RUN3_GBM","PA2","RUN3","GBM","TSS",510,88.808,60.325,0.493,0.398,NA
"Apis.dorsata_PA2_RUN3_GBM","PA2","RUN3","GBM","AUCroc",578.5,73.966,73.4,0.807,0.766,NA
"Apis.dorsata_PA2_RUN3_RF","PA2","RUN3","RF","TSS",323,100,100,1,0.376,NA
"Apis.dorsata_PA2_RUN3_RF","PA2","RUN3","RF","AUCroc",327,100,100,1,0.837,NA
"Apis.dorsata_PA2_RUN3_XGBOOST","PA2","RUN3","XGBOOST","TSS",510,93.187,66.075,0.592,0.481,NA
"Apis.dorsata_PA2_RUN3_XGBOOST","PA2","RUN3","XGBOOST","AUCroc",574.5,84.185,74.725,0.862,0.799,NA
"Apis.dorsata_PA2_RUN3_MAXNET","PA2","RUN3","MAXNET","TSS",416,80.535,70.9,0.516,0.398,NA
"Apis.dorsata_PA2_RUN3_MAXNET","PA2","RUN3","MAXNET","AUCroc",436.5,76.886,73.925,0.83,0.792,NA
"Apis.dorsata_PA3_RUN1_GLM","PA3","RUN1","GLM","TSS",538,77.129,62.9,0.402,0.395,NA
"Apis.dorsata_PA3_RUN1_GLM","PA3","RUN1","GLM","AUCroc",558.5,74.209,65.7,0.767,0.759,NA
"Apis.dorsata_PA3_RUN1_GAM","PA3","RUN1","GAM","TSS",535,78.589,72.1,0.507,0.436,NA
"Apis.dorsata_PA3_RUN1_GAM","PA3","RUN1","GAM","AUCroc",550.5,77.372,73.2,0.827,0.78,NA
"Apis.dorsata_PA3_RUN1_GBM","PA3","RUN1","GBM","TSS",523,82.482,65.475,0.482,0.417,NA
"Apis.dorsata_PA3_RUN1_GBM","PA3","RUN1","GBM","AUCroc",547.5,77.372,70.7,0.801,0.77,NA
"Apis.dorsata_PA3_RUN1_RF","PA3","RUN1","RF","TSS",349.5,100,100,1,0.391,NA
"Apis.dorsata_PA3_RUN1_RF","PA3","RUN1","RF","AUCroc",349,100,100,1,0.86,NA
"Apis.dorsata_PA3_RUN1_XGBOOST","PA3","RUN1","XGBOOST","TSS",533,90.268,70.025,0.603,0.433,NA
"Apis.dorsata_PA3_RUN1_XGBOOST","PA3","RUN1","XGBOOST","AUCroc",588.5,83.455,75.45,0.863,0.781,NA
"Apis.dorsata_PA3_RUN1_MAXNET","PA3","RUN1","MAXNET","TSS",395,83.942,65.825,0.499,0.447,NA
"Apis.dorsata_PA3_RUN1_MAXNET","PA3","RUN1","MAXNET","AUCroc",435.5,76.399,72.775,0.826,0.795,NA
"Apis.dorsata_PA3_RUN2_GLM","PA3","RUN2","GLM","TSS",523,80.657,61.6,0.42,0.361,NA
